school_name,accurate_agency_type
Allen-Field Elementary,Traditional Public
Andrew S Douglas Middle,Traditional Public
Audubon Technology and Communication Middle,Traditional Public
Bay View High,Traditional Public
Brown Street Academy,Traditional Public
Browning Elementary,Traditional Public
Carson Academy,Traditional Public
Carter's Christian Academy Inc,Private
Clarke Street Elementary,Traditional Public
Early View Academy of Excellence,Private
Elm Creative Arts Elementary,Traditional Public
Emerson Elementary,Traditional Public
Fifty-Third Street Elementary,Traditional Public
Franklin Elementary,Traditional Public
Gaenslen Elementary,Traditional Public
Grantosa Drive Elementary,Traditional Public
Green Tree Preparatory Academy,Instrumentality Charter
Hamilton High,Traditional Public
Hartford Avenue Elementary,Traditional Public
Hawley Environmental School,Traditional Public
Hawthorne Elementary,Traditional Public
Hi-Mount Elementary,Traditional Public
Holmes Elementary,Traditional Public
Jackson Elementary,Traditional Public
James Madison Academic Campus,Traditional Public
King International Baccalaureate Middle,Traditional Public
Kluge Elementary,Traditional Public
LaFollette Elementary,Traditional Public
Lancaster Elementary,Traditional Public
Lincoln Middle,Traditional Public
Metcalfe Elementary,Traditional Public
Milwaukee Sign Language Elementary,Traditional Public
Morse Mid,Traditional Public
Mount Calvary Lutheran School,Private
Obama School of Career and Technical Education,Traditional Public
Pulaski High,Traditional Public
Riley Dual Language Montessori School,Traditional Public
Riverwest Elementary,Traditional Public
Roosevelt Middle,Traditional Public
Sherman Elementary,Traditional Public
Shining Star Christian Schools Inc,Private
Siefert Elementary,Traditional Public
South Division High,Traditional Public
Starms Discovery,Traditional Public
Story Elementary,Traditional Public
Stuart Elementary,Traditional Public
Thoreau Elementary,Traditional Public
Thurston Woods Elementary,Traditional Public
Townsend Street Elementary,Traditional Public
Wisconsin Conservatory of Lifelong Learning,Traditional Public
